year,sido_cd,spot_nm,bjd_cd,lat,lon,occrrnc_cnt,caslt_cnt,dth_cnt,se_cnt,sl_cnt,wnd_cnt
2017,26,부산광역시 금정구 구서동(구서교차로 인근),2641010700,35.24618127181819,129.09290421909088,25,33,0,5,20,8
2017,26,부산광역시 금정구 서동(부산은행동상동지점 인근),2641011000,35.214513551818186,129.1056541572727,22,24,0,8,15,1
2017,26,부산광역시 금정구 장전동(부산대정문앞 인근),2641010800,35.23143411545454,129.08515850121208,19,21,0,6,9,6
2017,26,부산광역시 강서구 구랑동(녹산중소기업지원센터 인근),2644011300,35.08895902121212,128.83949537787882,10,18,0,5,13,0
2017,26,부산광역시 강서구 명지동(명지IC 인근),2644010400,35.111257239090904,128.93190715848488,8,16,0,4,11,1
2017,26,부산광역시 강서구 명지동(청량사거리 인근),2644010400,35.1146775490909,128.91956100242425,8,13,0,5,7,1
2017,26,부산광역시 연제구 연산동(연산교차로 인근),2647010200,35.18605883333332,129.08166468909093,56,71,0,19,45,7
2017,26,부산광역시 연제구 연산동(동래신경외과 인근),2647010200,35.181854488484845,129.07830981363634,21,22,1,7,14,0
2017,26,부산광역시 연제구 연산동(뉴콘티넨탈관광호텔 인근),2647010200,35.18840817666667,129.08467831363635,20,23,0,8,14,1
2017,26,부산광역시 수영구 광안동(수영교차로 인근),2650010400,35.16736427090908,129.11523412787878,32,46,0,8,33,5
2017,26,부산광역시 수영구 광안동(마이다스관광호텔 인근),2650010400,35.1681148021212,129.11769740909088,23,30,0,8,21,1
2017,26,부산광역시 수영구 남천동(오페라모텔 인근),2650010500,35.15475820727273,129.1187317212121,22,37,0,10,25,2
2017,26,부산광역시 사상구 감전동(서부터미널 인근),2653010500,35.16208217545455,128.98473934606062,32,43,0,13,23,7
2017,26,부산광역시 사상구 감전동(괴법교삼거리 인근),2653010500,35.16334583333333,128.9759304390909,21,32,0,6,17,9
2017,26,부산광역시 사상구 괘법동(심이태소아과의원앞 인근),2653010400,35.167108022424244,128.9823119072727,21,24,0,5,14,5
2017,26,부산광역시 기장군 기장읍(부산은행기장점 인근),2671025000,35.24513083393939,129.21678468909093,16,18,0,7,10,1
2017,26,부산광역시 기장군 기장읍(한신아파트사거리 인근),2671025000,35.24891298848484,129.21387556606064,11,16,0,3,11,2
2017,26,부산광역시 기장군 일광면(기장역사거리 인근),2671031000,35.2430851760606,129.21671353363632,10,11,0,1,10,0
2017,27,대구광역시 중구 남산동(반월당 인근),2711015600,35.86548299090908,128.5933868460606,48,68,0,7,46,15
2017,27,대구광역시 중구 대봉동(봉산육거리 인근),2711015700,35.863895989090906,128.59949984484845,38,58,0,12,40,6
2017,27,대구광역시 중구 포정동(중앙네거리 인근),2711014300,35.87098798909091,128.5941068460606,35,66,0,18,44,4
2017,27,대구광역시 동구 용계동(동대구역네거리 인근),2714011900,35.87661598969696,128.6261338460606,36,62,0,19,39,4
2017,27,대구광역시 동구 효목동(큰고개오거리 인근),2714010300,35.885616988484855,128.6330198460606,33,47,0,11,33,3
2017,27,대구광역시 동구 신천동(신천네거리 인근),2714010200,35.874654990303036,128.61764284606065,24,41,0,7,32,2
2017,27,대구광역시 서구 평리동(신평리네거리 인근),2717010300,35.870452990303036,128.55497384363636,35,63,0,15,45,3
2017,27,대구광역시 서구 내당동(두류네거리 인근),2717010100,35.85790199060605,128.5574918436364,33,59,0,10,39,10
2017,27,대구광역시 서구 비산동(비산네거리 인근),2717010200,35.87224499,128.5711868460606,33,41,1,12,27,1
2017,27,대구광역시 남구 대명동(봉덕1동한국외한은행 인근),2720010300,35.846048992727276,128.5905578460606,34,51,0,12,36,3
