key,road_class,n_roads,max_lanes,maxspeed
35.03571,126.72335,secondary,14,4,
35.03588,126.7187,secondary,15,4,
34.97476,127.58853,secondary,11,,
34.96993,127.5896,secondary,27,,
34.9385,127.69508,secondary,19,,
35.30049,126.98058,primary,18,4,
35.2225,126.97402,motorway,24,4,100
35.31849,126.97229,primary,9,,
35.28145,127.30115,secondary,14,4,
35.27832,127.29398,secondary,11,4,
35.27615,127.13548,tertiary,14,,
35.21616,127.46456,secondary,14,,
35.20477,127.46652,primary,12,4,
35.21265,127.46469,secondary,23,2,
34.52729,127.13479,secondary,18,,
34.60986,127.28761,secondary,11,1,
34.52598,127.14086,secondary,21,,
34.84262,127.34501,secondary,13,2,
34.76925,127.08227,secondary,11,,
34.76767,127.08532,secondary,8,,
35.0587,126.98167,secondary,23,,
35.05574,126.98364,tertiary,8,,
35.05373,126.91085,secondary,18,,70
34.67625,126.90939,secondary,18,4,
34.6802,126.90507,primary,16,2,50
34.67805,126.9259,trunk,8,4,
34.44968,126.81871,tertiary,7,,
34.72024,126.81287,secondary,4,,
34.70131,126.70835,trunk,13,,
34.57095,126.60719,secondary,22,,
34.5601,126.58725,trunk,11,4,
34.56522,126.60203,secondary,9,,
34.73623,126.51188,trunk,6,4,
34.77394,126.45879,secondary,9,8,60
34.77985,126.45209,secondary,8,8,
34.84879,126.49509,secondary,9,2,
35.01306,126.43319,motorway,8,2,80
34.84923,126.4929,secondary,13,2,
35.02152,126.53435,trunk,7,,
35.0664,126.52553,primary,10,3,
35.0596,126.52606,primary,9,,
35.27608,126.50113,primary,14,4,
35.35582,126.45163,secondary,19,4,80
35.27647,126.50698,secondary,11,2,
35.30088,126.78293,residential,8,,
35.28746,126.78692,motorway,7,2,100
35.24852,126.8136,primary,5,2,80
34.31885,126.74693,primary,10,,
34.31413,126.75705,secondary,12,2,
34.31619,126.75002,secondary,8,,
34.48103,126.26373,tertiary,11,2,
34.4781,126.26387,primary,15,1,
34.42098,126.17532,tertiary,2,,
36.02027,129.35606,primary,27,5,50
36.03525,129.36215,secondary,20,4,40
36.01267,129.35005,secondary,13,3,50
35.84439,129.21736,secondary,16,,
35.84469,129.20705,tertiary,19,,
35.8418,129.21692,primary,22,4,
36.12867,128.11823,secondary,15,2,
36.13435,128.1176,tertiary,17,4,60
36.11962,128.12743,primary,17,,20
36.56337,128.70274,tertiary,12,3,60
36.56609,128.71152,tertiary,7,3,60
36.56669,128.72071,tertiary,8,,60
36.10595,128.41967,secondary,16,4,60
36.09633,128.42927,secondary,14,,60
36.10819,128.41756,secondary,10,,60
36.82492,128.62989,secondary,13,,
36.81803,128.62116,primary,15,,
36.82699,128.6185,primary,12,,
35.96047,128.93279,tertiary,8,,30
35.93136,128.87284,secondary,10,4,50
35.96329,128.93409,tertiary,11,,50
36.41584,128.15121,primary,15,2,100
36.41567,128.15937,secondary,9,2,
36.41837,128.15109,primary,10,4,100
36.58668,128.19196,secondary,14,,50
36.59516,128.00426,secondary,17,,
36.5905,128.21305,secondary,6,2,
35.83656,128.75343,secondary,8,,30
35.83412,128.74756,secondary,8,,
35.83949,128.7574,secondary,18,,
36.09832,128.66534,secondary,26,,70
36.23174,128.56368,primary,10,,
36.35144,128.46688,primary,26,,70
36.35639,128.69415,secondary,11,6,
36.35959,128.68554,primary,10,2,
36.29068,128.90567,primary,3,,
36.66274,129.11318,tertiary,15,2,
36.66578,129.11435,secondary,17,2,
36.66236,129.12218,secondary,13,,
36.35752,129.38041,primary,17,4,
36.53903,129.40662,tertiary,20,,
36.35869,129.3848,secondary,10,2,
35.65038,128.75068,motorway,12,2,110
35.64234,128.74467,secondary,7,,
35.6513,128.72043,primary,4,,
35.69539,128.2551,secondary,1,,
35.72935,128.27141,primary,16,,
35.72522,128.26744,primary,10,,
35.91787,128.29205,primary,15,,
35.91819,128.28676,primary,11,,
35.91774,128.27829,primary,5,,
36.08036,128.41065,primary,13,,60
35.98735,128.39931,secondary,10,,
35.9962,128.39911,tertiary,12,,
36.6507,128.45685,secondary,17,6,
36.65518,128.4558,secondary,15,4,
36.65742,128.46497,secondary,8,3,60
36.89033,128.74053,secondary,21,,
36.90724,128.77277,secondary,2,,
37.1011,129.37252,secondary,16,,
36.95011,129.39154,primary,6,,
37.09883,129.37255,tertiary,24,,
35.24164,128.65182,primary,16,,
35.18038,128.5599,secondary,13,,
35.26118,128.62752,primary,16,,
35.19417,128.08825,tertiary,24,,
35.19304,128.08443,tertiary,24,,
35.15911,128.10773,trunk,19,2,
34.84192,128.41919,tertiary,12,,
34.84317,128.42275,tertiary,7,4,40
34.8462,128.42396,tertiary,10,4,
34.9387,128.07973,secondary,15,,
34.9291,128.07441,primary,12,,
34.93176,128.07705,primary,12,1,
35.23222,128.8653,tertiary,10,,
35.22803,128.88396,secondary,6,,
35.24249,128.90403,secondary,10,,
35.48559,128.75695,secondary,12,,
35.50223,128.7455,primary,13,,
35.48316,128.75261,primary,13,,
34.88997,128.62403,tertiary,18,1,
34.88723,128.62456,primary,17,,
34.89268,128.62925,primary,10,,
35.3511,129.04106,secondary,14,,
35.38089,129.15499,secondary,17,,
35.41082,129.16524,secondary,22,,
35.31695,128.26217,primary,12,,
35.4298,128.34131,primary,3,2,60
35.46424,128.3128,secondary,13,2,
35.27731,128.40465,primary,7,4,
35.28029,128.40321,primary,14,4,
35.29192,128.39734,primary,3,4,
35.5428,128.49235,primary,4,,
35.54279,128.48953,primary,13,,
35.42588,128.64833,secondary,14,2,
34.97394,128.32541,secondary,16,,
34.97807,128.32638,tertiary,5,,
35.05665,128.36855,secondary,7,,
34.83815,127.89412,tertiary,12,,
34.78163,127.96149,primary,6,,
34.84206,127.89393,tertiary,13,,
35.07066,127.75214,tertiary,20,,
35.02636,127.90393,secondary,15,,
34.97918,127.79501,primary,16,4,70
35.42008,127.8798,primary,29,2,20
35.30344,127.97245,primary,19,,
35.41672,127.87737,tertiary,14,,
35.5205,127.72763,tertiary,21,,
35.51461,127.72921,primary,22,2,
35.51929,127.72269,secondary,39,2,
35.68334,127.91182,secondary,16,,
35.68155,127.91699,primary,9,,
35.68516,127.91712,secondary,14,,
35.56711,128.16117,tertiary,12,,
35.56695,128.15857,tertiary,10,,
35.56762,128.17034,trunk,9,,
33.49951,126.52997,secondary,12,,50
33.48673,126.47865,secondary,19,7,
33.50073,126.52915,secondary,19,,50
